,name,price,display,processor,camera
1,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹18,999",17.02 cm (6.7 inch) Full HD+ Display,7s Gen 2 Processor,50MP + 13MP | 32MP Front Camera
2,"realme P3 5G (Space Silver, 256 GB)","₹18,499",16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4 Processor,50MP + 2MP | 16MP Front Camera
3,"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹18,999",17.02 cm (6.7 inch) Full HD+ Display,7s Gen 2 Processor,50MP + 13MP | 32MP Front Camera
4,"realme P3 Pro 5G (Saturn Brown, 128 GB)","₹19,999",17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform Processor,50MP + 2MP | 16MP Front Camera
5,"vivo T4x 5G (Pronto Purple, 256 GB)","₹16,999",17.07 cm (6.72 inch) Display,Dimensity 7300 5G Processor,50MP + 2MP | 8MP Front Camera
6,"Motorola G85 5G (Olive Green, 256 GB)","₹18,999",16.94 cm (6.67 inch) Full HD+ Display,6s Gen 3 Processor,50MP + 8MP | 32MP Front Camera
7,"realme P3 5G (Space Silver, 128 GB)","₹15,999",16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4 Processor,50MP + 2MP | 16MP Front Camera
8,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹18,999",17.02 cm (6.7 inch) Full HD+ Display,7s Gen 2 Processor,50MP + 13MP | 32MP Front Camera
9,"POCO X7 5G (Cosmic Silver, 256 GB)","₹18,999",16.94 cm (6.67 inch) Display,Dimensity 7300 Ultra Processor,50MP + 8MP + 2MP | 20MP Front Camera
10,"realme P3 5G (Nebula Pink, 256 GB)","₹18,499",16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4 Processor,50MP + 2MP | 16MP Front Camera
11,"Motorola G85 5G (Olive Green, 128 GB)","₹16,999",16.94 cm (6.67 inch) Full HD+ Display,6s Gen 3 Processor,50MP + 8MP | 32MP Front Camera
12,"IQOO Z9s 5G (Titanium Matte, 128 GB)","₹18,744",17.2 cm (6.77 inch) Display,1 year manufacturer warranty for device & 6 months for In-box accessories from the date of purchase,50MP Rear Camera
13,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,045",16.94 cm (6.67 inch) Display,1 year,50MP Rear Camera
14,"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹18,999",17.2 cm (6.77 inch) Display,Dimensity 7300 Pro 5G Processor,50MP + 50MP + 8MP | 16MP Front Camera
15,"realme P3 Pro 5G (Nebula Glow, 128 GB)","₹19,999",17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform Processor,50MP + 2MP | 16MP Front Camera
16,"POCO X7 5G (Glacier Green, 128 GB)","₹16,999",16.94 cm (6.67 inch) Display,Dimensity 7300 Ultra Processor,50MP + 8MP + 2MP | 20MP Front Camera
17,"POCO X7 5G (Yellow, 256 GB)","₹18,999",16.94 cm (6.67 inch) Display,Dimensity 7300 Ultra Processor,50MP + 8MP + 2MP | 20MP Front Camera
18,"IQOO Z9s 5G (Onyx Green, 128 GB)","₹18,555",17.2 cm (6.77 inch) Display,1 Year on Handset and 6 Months on Accessories,50MP Rear Camera
19,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹18,999",17.2 cm (6.77 inch) Display,Dimensity 7300 Pro 5G Processor,50MP + 50MP + 8MP | 16MP Front Camera
20,"Motorola G85 5G (Cobalt Blue, 128 GB)","₹16,999",16.94 cm (6.67 inch) Full HD+ Display,6s Gen 3 Processor,50MP + 8MP | 32MP Front Camera
21,"realme P3 5G (Nebula Pink, 128 GB)","₹15,999",16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4 Processor,50MP + 2MP | 16MP Front Camera
22,"realme P2 Pro 5G (Parrot Green, 128 GB)","₹16,999",17.02 cm (6.7 inch) Full HD+ Display,7s Gen2 Processor,50MP + 8MP | 32MP Front Camera
23,"realme P2 Pro 5G (Eagle Grey, 128 GB)","₹16,999",17.02 cm (6.7 inch) Full HD+ Display,7s Gen2 Processor,50MP + 8MP | 32MP Front Camera
24,"Motorola g64 5G (Berry Red, 256 GB)","₹15,999",16.51 cm (6.5 inch) Full HD+ Display,Dimensity 7025 Processor,50MP (OIS) + 8MP | 16MP Front Camera
